+-------+-----+------+-----+-----+-----+--------+-----------------------------------------------------------------------------------------------+-------+-------+----------+-------+-------+-------+-------+--------+-------------+-------------+--------------+-------------+
| COUNT | 1XX | 2XX  | 3XX | 4XX | 5XX | METHOD |                                              URI                                              |  MIN  |  MAX  |   SUM    |  AVG  |  P90  |  P95  |  P99  | STDDEV |  MIN(BODY)  |  MAX(BODY)  |  SUM(BODY)   |  AVG(BODY)  |
| 53    | 0   | 53   | 0   | 0   | 0   | GET    | /api/announcements/01HFNB5XSKVJSZCENT0E5HBAJA                                                 | 0.020 | 3.296 | 16.476   | 0.311 | 0.596 | 0.752 | 3.296 | 0.561  | 557.000     | 558.000     | 29524.000    | 557.057     |
| 50    | 0   | 50   | 0   | 0   | 0   | GET    | /api/announcements/01HFNB61H0326M8JJ5TBH9J7VF                                                 | 0.008 | 3.076 | 16.360   | 0.327 | 0.716 | 1.292 | 3.076 | 0.549  | 407.000     | 408.000     | 20352.000    | 407.040     |
| 58    | 0   | 58   | 0   | 0   | 0   | GET    | /api/announcements/01HFNB4TC2J8VEA22X6STJNE0T                                                 | 0.020 | 3.068 | 16.356   | 0.282 | 0.784 | 1.224 | 3.068 | 0.466  | 349.000     | 350.000     | 20250.000    | 349.138     |
| 27    | 0   | 26   | 0   | 1   | 0   | POST   | /api/courses/01HFNB5H2RZE9PSSMY27X8GZQ4/classes/01HFNB633R3PZVHBSDZS8G7ZW8/assignments        | 0.024 | 5.004 | 16.128   | 0.597 | 0.904 | 4.520 | 5.004 | 1.202  | 0.000       | 0.000       | 0.000        | 0.000       |
| 43    | 0   | 43   | 0   | 0   | 0   | POST   | /api/courses/01HFNB5HB581Q83JENEEB88WXW/classes/01HFNB5WGSRKKSY8W8QK1RFSPX/assignments        | 0.016 | 2.468 | 16.124   | 0.375 | 0.984 | 1.232 | 2.468 | 0.490  | 0.000       | 0.000       | 0.000        | 0.000       |
| 54    | 0   | 54   | 0   | 0   | 0   | GET    | /api/announcements/01HFNB4ZRA11100F5NA6KGTW2X                                                 | 0.016 | 1.756 | 16.060   | 0.297 | 0.740 | 1.176 | 1.756 | 0.342  | 354.000     | 355.000     | 19120.000    | 354.074     |
| 40    | 0   | 40   | 0   | 0   | 0   | POST   | /api/courses/01HFNB4N87TNQF3MX17YJ055V2/classes/01HFNB66WJPQPYMPSGEWH33QY6/assignments        | 0.016 | 2.024 | 15.904   | 0.398 | 1.192 | 1.776 | 2.024 | 0.544  | 0.000       | 0.000       | 0.000        | 0.000       |
| 57    | 0   | 57   | 0   | 0   | 0   | GET    | /api/announcements/01HFNB3W1C48NTG22NAKJ061PV                                                 | 0.016 | 2.140 | 15.852   | 0.278 | 0.780 | 1.416 | 2.140 | 0.411  | 531.000     | 532.000     | 30274.000    | 531.123     |
| 56    | 0   | 56   | 0   | 0   | 0   | GET    | /api/announcements/01HFNB50NS8TXDMB7BCMZ2V2RH                                                 | 0.008 | 2.984 | 15.564   | 0.278 | 0.704 | 0.756 | 2.984 | 0.435  | 330.000     | 331.000     | 18486.000    | 330.107     |
| 49    | 0   | 49   | 0   | 0   | 0   | GET    | /api/announcements/01HFNB5S6AVN17C55DN8J4GFBB                                                 | 0.020 | 2.640 | 15.484   | 0.316 | 1.096 | 1.208 | 2.640 | 0.481  | 441.000     | 441.000     | 21609.000    | 441.000     |
